id,title,recipient,amount_usd,date,grantmaker,category,focus_area,fund,is_residual,country,topics,funders,url,description
gw-00000,Survey on Quality of Fortified Rice Produced in Punjab,PATH,684526,2025-12-04,GiveWell,GH,Global Health & Development,Board Designated,,India,Nutrition; Fortification; Research,Board Designated,,"Survey on Quality of Fortified Rice Produced in Punjab. Country: India. Topics: Nutrition,Fortification,Research. Funded by: Board Designated"
gw-00001,General Support,New Incentives,1000000,2025-12-04,GiveWell,GH,Global Health & Development,Board Designated,,Nigeria,Cash transfers; Conditional cash transfers (CCTs); Vaccines,Board Designated,,"General Support. Country: Nigeria. Topics: Cash transfers,Conditional cash transfers (CCTs),Vaccines. Funded by: Board Designated"
gw-00002,Evaluation of GiveWell-Funded Malnutrition Treatment Programs (Design Phase),ID Insight Inc,107000,2025-12-03,GiveWell,GH,Global Health & Development,Board Designated,,Nigeria,Nutrition; Malnutrition; Monitoring and evaluation,Board Designated,,"Evaluation of GiveWell-Funded Malnutrition Treatment Programs (Design Phase). Country: Nigeria. Topics: Nutrition,Malnutrition,Monitoring and evaluation. Funded by: Board Designated"
gw-00003,Community-Based Management of Acute Malnutrition in South Sudan,Amref Health Africa Inc,862518,2025-12-02,GiveWell,GH,Global Health & Development,Board Designated,,South Sudan,Nutrition; Malnutrition,Board Designated,,"Community-Based Management of Acute Malnutrition in South Sudan. Country: South Sudan. Topics: Nutrition,Malnutrition. Funded by: Board Designated"
gw-00004,Water Quality Assurance Fund Data Collection and Scoping for New Countries,The Aquaya Institute,508299,2025-12-02,GiveWell,GH,Global Health & Development,Board Designated,,Ghana,Research; Water,Board Designated,,"Water Quality Assurance Fund Data Collection and Scoping for New Countries. Country: Ghana. Topics: Research,Water. Funded by: Board Designated"
gw-00005,Long-Lasting Insecticidal Nets in Côte d'Ivoire,Against Malaria Foundation,24535490,2025-11-21,GiveWell,GH,Global Health & Development,Top Charities Fund,,Côte d’Ivoire,Malaria; Insecticide-treated nets (ITNs),Top Charities Fund; All Grants Fund; Giv Effektivt,,"Long-Lasting Insecticidal Nets in Côte d'Ivoire. Country: Côte d’Ivoire. Topics: Malaria,Insecticide-treated nets (ITNs). Funded by: Top Charities Fund,All Grants Fund,Giv Effektivt"
gw-00006,In-Line Chlorination Pilot in Burkina Faso,Solidarités International,675410,2025-11-18,GiveWell,GH,Global Health & Development,Board Designated,,Burkina Faso,Chlorination; Water,Board Designated,,"In-Line Chlorination Pilot in Burkina Faso. Country: Burkina Faso. Topics: Chlorination,Water. Funded by: Board Designated"
gw-00007,Pilots of Program Variations That Could Be Above Our 6x Bar,GiveDirectly,4611239,2025-11-14,GiveWell,GH,Global Health & Development,All Grants Fund,,"Malawi,Mozambique,Uganda",Cash transfers; Research; Unconditional cash transfers,All Grants Fund; Individual donor,,"Pilots of Program Variations That Could Be Above Our 6x Bar. Country: Malawi,Mozambique,Uganda. Topics: Cash transfers,Research,Unconditional cash transfers. Funded by: All Grants Fund,Individual donor"
gw-00008,Interviews of Community Health Workers via CommCare Connect Chatbot,Dimagi Inc,225000,2025-11-10,GiveWell,GH,Global Health & Development,Board Designated,,Nigeria,Research,Board Designated,,Interviews of Community Health Workers via CommCare Connect Chatbot. Country: Nigeria. Topics: Research. Funded by: Board Designated
gw-00009,Implementation and RCT of Diarrhea Prevention and Treatment Program (WASHmobile),Johns Hopkins University,8766649,2025-11-05,GiveWell,GH,Global Health & Development,Open Philanthropy,,"Democratic Republic of the Congo,South Sudan",Chlorination; Oral rehydration solution (ORS); Research; Water,Open Philanthropy,,"Implementation and RCT of Diarrhea Prevention and Treatment Program (WASHmobile). Country: Democratic Republic of the Congo,South Sudan. Topics: Chlorination,Oral rehydration solution (ORS),Research,Water. Funded by: Open Philanthropy"
gw-00010,Procurement of Malaria Rapid Diagnostic Tests,"Clinton Health Access Initiative, Inc.",204120,2025-10-29,GiveWell,GH,Global Health & Development,All Grants Fund,,Senegal,Malaria,All Grants Fund,,Procurement of Malaria Rapid Diagnostic Tests. Country: Senegal. Topics: Malaria. Funded by: All Grants Fund
gw-00011,"Malnutrition Treatment in Mirriah and Dakoro, Niger and Ngouri, Chad",ALIMA USA,4711130,2025-10-28,GiveWell,GH,Global Health & Development,All Grants Fund,,"Chad,Niger",Nutrition; Malnutrition,All Grants Fund,,"Malnutrition Treatment in Mirriah and Dakoro, Niger and Ngouri, Chad. Country: Chad,Niger. Topics: Nutrition,Malnutrition. Funded by: All Grants Fund"
